run_uuid,hostname,run_num,total_runs,order_type,random_seed,time_start,time_stop
adbe53a2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,fixed,1634078119.0941448,15858.428116849,15870.671883409
b511e9de-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,fixed,1634078119.0941448,15870.718741184,15882.956864382
bc6472ba-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,fixed,1634078119.0941448,15883.003867074,15895.238585395
c3b67ea0-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,fixed,1634078119.0941448,15895.284903203,15907.508076985
cb06abb2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,fixed,1634078119.0941448,15907.556559409,15919.830858337
d25efb4e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,random,1634078180.5450923,15919.87932508,15932.112423488
d9b0fe7e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,random,1634078180.5450923,15932.156595504,15944.38838742
e1022720-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,random,1634078180.5450923,15944.436145029,15956.718225562
e85b8c0a-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,random,1634078180.5450923,15956.765048332,15969.032445786
efb289a4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,random,1634078180.5450923,15969.080115367,15981.316438617
